walking down a dark hallway
in the lobby of the main building
outside the main entrance of the university
in a lecture theater
in a computing lab
in the campus pub
in the computing admin office
walking down New Street
at a sandy beach
in a dense forest
in a rainforest
next to a motorway
in a block of flats
outside a block of flats
near a dark cave
in a misty wood
next to a lake
outside a hospital
in a hospital
in a dark corridor
outside an old house
in MB272
at a train station
at a coach station
outside a police station
X
